id,lang,pecha name,url
I6A5565FB,pt,Jamyang Khyentse Chökyi Lodrö Series,https://github.com/OpenPecha-Data/I6A5565FB
I17993B60,zh,Jamyang Khyentse Chökyi Lodrö Series,https://github.com/OpenPecha-Data/I17993B60
I69AA3A97,bo,Jamyang Khyentse Chökyi Lodrö Series,https://github.com/OpenPecha-Data/I69AA3A97
I6024C32C,en,Jamyang Khyentse Wangpo Series,https://github.com/OpenPecha-Data/I6024C32C
I98E97869,de,Jamyang Khyentse Wangpo Series,https://github.com/OpenPecha-Data/I98E97869
I57778B6E,es,Jamyang Khyentse Wangpo Series,https://github.com/OpenPecha-Data/I57778B6E
I47034CBC,fr,Jamyang Khyentse Wangpo Series,https://github.com/OpenPecha-Data/I47034CBC
IE799FC17,it,Jamyang Khyentse Wangpo Series,https://github.com/OpenPecha-Data/IE799FC17
I636F3261,pt,Jamyang Khyentse Wangpo Series,https://github.com/OpenPecha-Data/I636F3261
I7CBBDF6A,zh,Jamyang Khyentse Wangpo Series,https://github.com/OpenPecha-Data/I7CBBDF6A
I5C42C808,bo,Jamyang Khyentse Wangpo Series,https://github.com/OpenPecha-Data/I5C42C808
I3E0BABB6,en,Jamyang Loter Wangpo Series,https://github.com/OpenPecha-Data/I3E0BABB6
I5844025A,bo,Jamyang Loter Wangpo Series,https://github.com/OpenPecha-Data/I5844025A
I897BB030,en,Jatsön Nyingpo Series,https://github.com/OpenPecha-Data/I897BB030
I56A973CF,es,Jatsön Nyingpo Series,https://github.com/OpenPecha-Data/I56A973CF
IC9C303E9,bo,Jatsön Nyingpo Series,https://github.com/OpenPecha-Data/IC9C303E9
IF06993D6,en,Jetsün Drakpa Gyaltsen Series,https://github.com/OpenPecha-Data/IF06993D6
ID73EE536,de,Jetsün Drakpa Gyaltsen Series,https://github.com/OpenPecha-Data/ID73EE536
IB27AE947,es,Jetsün Drakpa Gyaltsen Series,https://github.com/OpenPecha-Data/IB27AE947
I9AF90D00,fr,Jetsün Drakpa Gyaltsen Series,https://github.com/OpenPecha-Data/I9AF90D00
I77741598,pt,Jetsün Drakpa Gyaltsen Series,https://github.com/OpenPecha-Data/I77741598
I9D01EDDC,bo,Jetsün Drakpa Gyaltsen Series,https://github.com/OpenPecha-Data/I9D01EDDC
I934BE349,en,Jetsün Mingyur Paldrön,https://github.com/OpenPecha-Data/I934BE349
IEAC99049,bo,Jetsün Mingyur Paldrön,https://github.com/OpenPecha-Data/IEAC99049
I3E547669,en,Jetsünma Muntso Rinpoche,https://github.com/OpenPecha-Data/I3E547669
I800674D7,bo,Jetsünma Muntso Rinpoche,https://github.com/OpenPecha-Data/I800674D7
IF4887357,en,Jigdral Tutop Lingpa Series,https://github.com/OpenPecha-Data/IF4887357
I46F42BEA,bo,Jigdral Tutop Lingpa Series,https://github.com/OpenPecha-Data/I46F42BEA
I44683708,en,Jigme Lingpa Series,https://github.com/OpenPecha-Data/I44683708
I79C461FB,de,Jigme Lingpa Series,https://github.com/OpenPecha-Data/I79C461FB
I3093B402,es,Jigme Lingpa Series,https://github.com/OpenPecha-Data/I3093B402
ID763295F,fr,Jigme Lingpa Series,https://github.com/OpenPecha-Data/ID763295F
I9AE903BB,pt,Jigme Lingpa Series,https://github.com/OpenPecha-Data/I9AE903BB
I44AFEC57,zh,Jigme Lingpa Series,https://github.com/OpenPecha-Data/I44AFEC57
I25331051,bo,Jigme Lingpa Series,https://github.com/OpenPecha-Data/I25331051
IB49D81A3,en,Jigme Tenpé Wangchuk Series,https://github.com/OpenPecha-Data/IB49D81A3
